대여소,상태,주소,위도,경도
마곡엠밸리6_7단지 마곡중학교,운영중,서울특별시 강서구 마곡중앙5로 58 강서구 마곡동 743-3,37.566982,126.8218
마곡엠밸리4단지 정문,운영중,서울특별시 강서구 마곡서로 175 강서구 마곡동 754-6,37.568577000000005,126.824776
서남환경공원 버스정류장,운영중,서울특별시 강서구 양천로 201 강서구 마곡동 222-30,37.573093,126.82289899999999
서남물재생센터 버스정류장,운영중,서울특별시 강서구 양천로 200 강서구 마곡동 223-6,37.572781,126.826279
등촌역 1번출구옆,운영중,서울특별시 강서구 공항대로59길 8 강서구 등촌동 666-90,37.551666,126.86408999999999
스타벅스앞,운영중,서울특별시 강서구 공항대로 329 강서구 등촌동 675-7,37.558197,126.84426100000002
증미역 3번출구뒤(등촌두산위브센티움오피스텔),운영중,서울특별시 강서구 양천로 지하 560 강서구 등촌동 666-40,37.557460999999996,126.86145800000001
염창동 한마음아파트앞(염창동 빛나는 음악학원앞),운영중,서울특별시 강서구 양천로 637 강서구 염창동 284-18,37.554253,126.86756100000001
극동방송국 앞,운영중,서울특별시 마포구 와우산로 56 89-2,37.549202,126.923203
대림경동아파트앞,운영중,서울특별시 강서구 허준로 121 강서구 가양동 1475-2,37.565189000000004,126.853996
가양레포츠센터앞,운영중,서울특별시 강서구 양천로61길 101 강서구 가양동 1484-5,37.559478999999996,126.86438000000001
황금내근린공원,운영중,서울특별시 강서구 허준로 221-40 강서구 가양동 1485-5,37.561932,126.863869
발산역 6번출구옆(다이소앞),운영중,서울특별시 강서구 공항대로 280 강서구 내발산동 645-1,37.557968,126.83828700000001
명덕고교입구(영종빌딩),운영중,서울특별시 강서구 강서로 304 강서구 내발산동 724-42,37.552914,126.83657099999999
우장산역 1번출구옆(우장산아이파크105동앞),운영중,서울특별시 강서구 강서로 지하 262 강서구 화곡동 1159-6,37.548908000000004,126.83656299999998
화곡역(에이스정형외과앞) 버스정류장,운영중,서울특별시 강서구 화곡로 157 강서구 화곡동 1089-52,37.540981,126.83854699999999
화곡역 1번 출구 앞,운영중,서울특별시 강서구 화곡로 지하 168 강서구 화곡동 1089-43,37.542099,126.840218
홍대입구역 2번출구 앞,운영중,서울특별시 마포구 양화로 165 156-8,37.557499,126.923805
화곡본동시장 버스정류장,운영중,서울특별시 강서구 화곡로 196 강서구 화곡동 109-12,37.542751,126.842621
꿈돌이공원 앞,운영중,서울특별시 강서구 화곡로 232 강서구 화곡동 94-6,37.546444,126.845459
등촌역 7번출구,운영중,서울특별시 강서구 공항대로 지하 529 강서구 등촌동 505-3,37.551109000000004,126.863708
강서구의회,운영중,서울특별시 강서구 등촌로 185 강서구 등촌동 608-4,37.546532,126.862549
등촌2파출소,운영중,서울특별시 강서구 등촌로 167 강서구 등촌동 608-6,37.544788,126.862
등촌2동주민센터,운영중,서울특별시 강서구 등촌로 143 강서구 등촌동 577,37.541431,126.86322
용문사 버스정류장,운영중,서울특별시 강서구 등촌로 95 강서구 등촌동 579,37.536991,126.86336499999999
홍대입구역 8번출구 앞,운영중,서울특별시 마포구 양화로18길 3 192-5,37.55706,126.924423
목동사거리 버스정류장,운영중,서울특별시 강서구 등촌로 19 강서구 화곡동 939-3,37.531399,126.86360900000001
곰달래 문화복지센터 1-1,운영중,서울특별시 강서구 강서로5길 50 강서구 화곡동 941-2,37.52906,126.84848000000001
곰달래 문화복지센터 1-2,운영중,서울특별시 강서구 강서로5길 50 강서구 화곡동 941-2,37.528919,126.848083
곰달래사거리,운영중,서울특별시 강서구 곰달래로 51 355-48,37.530338,126.83825700000001
볏골공원,운영중,서울특별시 강서구 까치산로4길 22 강서구 화곡동 98-148,37.541470000000004,126.84478
신방화역환승주차장,운영중,서울특별시 강서구 마곡서1로 111-12 신방화역환승주차장,37.567284,126.818275
사루비아 빌딩 앞,운영중,서울특별시 서대문구 연희로 6 516,37.558933,126.927116
송정역 1번출구,운영중,서울특별시 강서구 공항대로3길 18 송정역 1번출구,37.56155,126.810478
마곡역1번출구,운영중,서울특별시 강서구 마곡동 727-716 마곡역2번출구,37.560234,126.823471
마곡역교차로,운영중,서울특별시 강서구 마곡동 728-168 마곡역7번출구,37.558665999999995,126.82661399999999
발산역 2번출구,운영중,서울특별시 강서구 공항대로 281 발산역 4번출구,37.55891,126.83809699999999
기쁜우리복지관,운영중,서울특별시 강서구 가양동 1458-15 기쁜우리복지관,37.56926,126.84841899999999
강서구청,운영중,서울특별시 강서구 화곡로 302 강서구청,37.550659,126.84976999999999
가양역 8번출구,운영중,서울특별시 강서구 양천로 지하 485 가양역 8번출구,37.561035,126.854813
서서울모터리움앞,운영중,서울특별시 강서구 양천로53길 30 서서울모터리움앞,37.565853000000004,126.84659599999999
일진아이윌아파트 옆,운영중,서울특별시 서대문구 동교로 290 일진아이윌아파트 옆,37.564541,126.927071
양천향교역 7번출구앞,운영중,서울특별시 강서구 양천로 지하 341 양천향교역 7번출구 앞,37.567679999999996,126.840897
강서면허시험장앞,운영중,서울특별시 강서구 남부순환로 171 강서면허시험장앞,37.549694,126.81966399999999
공항초등학교건너편,운영중,서울특별시 강서구 마곡서1로 68 공항초등학교건너편,37.562678999999996,126.82047299999999
방화동강서기동대앞,운영중,서울특별시 강서구 방화대로34길 65 방화동 강서기동대앞,37.570499,126.82008400000001
마곡중학교 후문,운영중,서울특별시 강서구 마곡중앙5로 58 마곡중학교 후문,37.568447,126.821648
강서구립등빛도서관,운영중,서울특별시 강서구 강서로62길 48 강서구립등빛도서관,37.562569,126.84246100000001
마곡수명산파크3단지 교차로,운영중,서울특별시 강서구 수명로 72 마곡수명산파크3단지 교차로,37.553467,126.825928
마곡엠밸리10단지 앞,운영중,서울특별시 강서구 마곡중앙1로 72 마곡엠밸리10단지 앞,37.560226,126.819069
염창역 1번 출구,운영중,서울특별시 강서구 공항대로 625 염창역 1번 출구,37.547199,126.87448899999998
강서구보건소 (삼성디지털 프라자),운영중,서울특별시 강서구 공항대로 571 강서구보건소 (삼성디지털 프라자),37.549178999999995,126.868797
염창동 새마을금고 건너편 (모닝글로리),운영중,서울특별시 강서구 양천로 696 염창동 새마을금고 건너편 (모닝글로리),37.550049,126.87316100000001
가양3동 주민센터,운영중,서울특별시 강서구 허준로 202 가양3동 주민센터,37.561249,126.86058
강서구청사거리(SH타워),운영중,서울특별시 강서구 공항대로 411 강서구청사거리(SH타워),37.556259000000004,126.85331699999999
강서구청사거리(부민병원),운영중,서울특별시 강서구 공항대로 395 강서구청사거리(부민병원),37.556599,126.85147099999999
대한항공 인력개발센터,운영중,서울특별시 강서구 공항대로 453 대한항공 인력개발센터,37.554379,126.85753600000001
수명중․고교,운영중,서울특별시 강서구 수명로1길 16 마곡수명산파크4단지아파트 401동 앞,37.55011,126.823677
개화산역 2번 출구,운영중,서울특별시 강서구 양천로 22 개화산역 2번 출구,37.572472,126.806168
광흥창역 2번출구 앞,운영중,서울특별시 마포구 독막로 지하165 243-3,37.547733,126.93176299999999
마곡엠밸리 15단지(1502동) 건너편,운영중,서울특별시 강서구 마곡중앙로 36 마곡엠밸리 15단지(1502동) 건너편,37.557468,126.82972
농수산식품공사 (강서지사),운영중,서울특별시 강서구 발산로 40 농산식품공사 (강서지사),37.551044,126.818497
KBS 스포츠월드,운영중,서울특별시 강서구 공항대로 376 KBS 스포츠월드,37.556877,126.848808
마곡13단지,운영중,서울특별시 강서구 방화대로7길 6 마곡13단지,37.55645,126.815979
등촌9단지,운영중,서울특별시 강서구 화곡로63가길 92 등촌9단지,37.562901000000004,126.84947199999999
송정중학교,운영중,서울특별시 강서구 방화대로5길 7 송정중학교,37.554728999999995,126.816093
롯데중앙연구소,운영중,서울특별시 강서구 마곡중앙로 201 롯데중앙연구소,37.571381,126.82833899999999
서강나루 공원,운영중,서울특별시 마포구 창전로 30 서강나루공원,37.545284,126.931053
마곡역 교차로(2번출구),운영중,서울특별시 강서구 공항대로 지하 163 마곡역 교차로(2번출구),37.560501,126.82665300000001
마곡역 교차로(NH농협),운영중,서울특별시 강서구 마곡중앙로 76 힐스테이트에코마곡역,37.560241999999995,126.827164
코오롱one&only;타워,운영중,서울특별시 강서구 마곡동로 110 코오롱글로벌㈜,37.564129,126.83431200000001
서울식물원(문화센터) 건너편,운영중,서울특별시 강서구 마곡동로 161 서울식물원(문화센터) 건너편,37.568241,126.835831
엘펠리체 호텔 건너편,운영중,서울특별시 강서구 강서로 247 엘펠리체 호텔 건너편,37.560429,126.835403
LG 사이언스파크,운영중,서울특별시 강서구 마곡중앙10로 10 LG 사이언스파크,37.56255,126.82743799999999
신수동 사거리,운영중,서울특별시 마포구 토정로 211 371-11,37.545242,126.93411299999998
가락시장역 3번 출구,운영중,서울특별시 송파구 송파대로 지하 257 송파구 가락동 214-3,37.493179,127.118546
밀리아나2빌딩 앞,운영중,서울특별시 송파구 송파대로28길 24 송파구 가락동 100-2,37.493728999999995,127.120621
거여역 3번출구,운영중,서울특별시 송파구 오금로 지하 499 3번출구,37.493342999999996,127.14473000000001
종합운동장역 4번출구,운영중,서울특별시 송파구 올림픽로 8 송파구 잠실동 50,37.510428999999995,127.071373
9호선종합운동장역 9번출구,운영중,서울특별시 송파구 올림픽로 지하 23 송파구 잠실동 53-4,37.51128,127.078239
마천CU우방점 앞,운영중,서울특별시 송파구 성내천로 233 송파구 마천동 200-58,37.499756,127.15250400000001
풍납현대아파트쉼터,운영중,서울특별시 송파구 풍성로14길 19 송파구 풍납동 465,37.529675,127.11978899999998
잠실나루역 (2번 출구 쪽),운영중,서울특별시 송파구 오금로 20 송파구 신천동 15,37.520451,127.104202
마포소방서 앞,운영중,서울특별시 마포구 창전로 76 100-18,37.549766999999996,126.933174
롯데월드타워(잠실역2번출구 쪽),운영중,서울특별시 송파구 올림픽로 293-19 송파구 신천동 28,37.513126,127.10096000000001
방이삼거리,운영중,서울특별시 송파구 석촌호수로 298 송파구 신천동 33,37.512104,127.10778
송파역 2번 출구앞,운영중,서울특별시 송파구 송파대로 지하 354 송파구 가락동 459-4,37.499413,127.11286899999999
백토공원 앞,운영중,서울특별시 송파구 양재대로72길 47-8 송파구 오금동 6-2,37.507659999999994,127.13273600000001
오금역 7번 출구 인근,운영중,서울특별시 송파구 오금로 지하 321 송파구 오금동 44-2,37.502594,127.127647
올림픽공원역 1번출구 앞,운영중,서울특별시 송파구 양재대로 지하 1233 송파구 방이동 89-28,37.516571,127.13153799999999
송파파인타운 7단지,운영중,서울특별시 송파구 충민로4길 19 송파구 장지동 839-4,37.479271000000004,127.12957800000001
방이역 4번출구,운영중,서울특별시 송파구 양재대로 지하 1127 송파구 방이동 217-2,37.508967999999996,127.12583899999998
신성기사식당 앞,운영중,서울특별시 마포구 독막로 223-1 50-2,37.547249,126.93929299999999
잠실본동주민센터뒤 잠실근린공원,운영중,서울특별시 송파구 백제고분로15길 7 송파구 잠실동 230,37.505691999999996,127.08403799999999
삼전사거리 포스코더샵,운영중,서울특별시 송파구 백제고분로 188 잠실포스코더샵,37.5042,127.08753200000001
잠실새내역 5번 출구 뒤,운영중,서울특별시 송파구 백제고분로 95 송파구 잠실동 19-10,37.511982,127.085052
아시아지하보도 2번 출구,운영중,서울특별시 송파구 올림픽로 74 송파구 잠실동 20,37.512169,127.078934
잠실4동 주민센터 옆,운영중,서울특별시 송파구 올림픽로35길 16 송파구 신천동 20-50,37.520077,127.112366
거여역 8번출구 뒤,운영중,서울특별시 송파구 오금로 지하 499 송파구 거여동 20-14,37.493126000000004,127.143822
마천사거리,운영중,서울특별시 송파구 거마로 51 송파구 거여동 133-60,37.4977,127.146202
송파체육문화회관 앞,운영중,서울특별시 송파구 양산로 15 송파구 거여동 289-9,37.490688,127.143127
문화촌 공원,운영중,서울특별시 서대문구 홍제동 277-23 277-23,37.59433,126.94738799999999
송파중학교 정문,운영중,서울특별시 송파구 동남로 203 송파구 가락동 195-1,37.495670000000004,127.130592
잠실역 6번출구,운영중,서울특별시 송파구 석촌호수로12길 3-5 송파구 잠실동 31,37.514088,127.09903
롯데마트 주차장 옆,운영중,서울특별시 송파구 석촌호수로12길 3-19 송파구 잠실동 39,37.512089,127.09619099999999
잠실3거리(갤러리아팰리스),운영중,서울특별시 송파구 석촌호수로12길 3-17 송파구 잠실동 38,37.510509000000006,127.093369
잠실트리지움310동 옆,운영중,서울특별시 송파구 잠실로 62 송파구 잠실동 36-1,37.508339,127.08814199999999
문정 법조단지3,운영중,서울특별시 송파구 정의로 30 송파구 문정동 396-3,37.480843,127.11801100000001
서강대 정문 건너편,운영중,서울특별시 마포구 서강로16길 72 84-5,37.551140000000004,126.93698899999998
문정 법조단지4,운영중,서울특별시 송파구 새말로 62 송파구 문정동 305-24,37.480576,127.118568
문정 법조단지5,운영중,서울특별시 송파구 새말로 62 송파구 문정동 398-5,37.481239,127.11979699999999
문정 법조단지6,운영중,서울특별시 송파구 법원로 101 송파구 문정동 361-1,37.48209,127.119743
문정 법조단지7,운영중,서울특별시 송파구 법원로 101 문정동 346-2,37.484531,127.12016299999999
문정 법조단지8,운영중,서울특별시 송파구 법원로 101 문정동 619,37.481537,127.122124
문정 법조단지9,운영중,서울특별시 송파구 법원로 101 문정동 619,37.479465000000005,127.125328
문정 법조단지10,운영중,서울특별시 송파구 송파대로 지하 82 장지동 201-5,37.477509000000005,127.126328
문정 법조단지11,운영중,서울특별시 송파구 법원로 101 문정동 627,37.478821,127.123512
방이초등학교,운영중,서울특별시 송파구 위례성대로 114 송파구 방이동 75,37.513962,127.121674
아주중학교건너편,운영중,서울특별시 송파구 도곡로 446 송파구 잠실동 128,37.505463,127.077347
서강대 남문 옆,운영중,서울특별시 마포구 백범로 35 1-30,37.549484,126.93895
문정2동 주민센터,운영중,서울특별시 송파구 중대로 16 송파구 중대로 16,37.490047,127.110748
석촌역 2번출구,운영중,서울특별시 송파구 송파동 68 석촌역 2번출구,37.505932,127.10775
오금역 3번 출구 뒤,운영중,서울특별시 송파구 가락동 10-15 오금역 3번 출구 뒤,37.501652,127.12818100000001
가락시장역 롯데마트앞,운영중,서울특별시 송파구 가락동 214-15 가락시장역 롯데마트앞,37.4921,127.117752
가락미륭아파트 앞,운영중,서울특별시 서울 송파구 가락동 195-4 가락미륭아파트 앞,37.493198,127.128998
방이역 1번출구,운영중,서울특별시 송파구 오금동 17-20 방이역 1번출구,37.508984000000005,127.126595
서강대 후문 옆,운영중,서울특별시 마포구 대흥로 122 38-16,37.550411,126.943848
방이동 한양3차아파트 옆,운영중,서울특별시 송파구 방이동 225-1 방이동 한양3차아파트 옆,37.506302000000005,127.121399
송파여성문화회관 앞,운영중,서울특별시 송파구 송파동 2-3 송파여성문화회관 앞,37.505802,127.10971799999999
장지공영차고지,운영중,서울특별시 송파구 장지동 861-6 장지공영차고지,37.480540999999995,127.13701599999999
천호역 10번 출구 앞,운영중,서울특별시 송파구 풍납동 490-16 천호역 10번 출구 앞,37.538582,127.122803
문정동 근린공원,운영중,서울특별시 송파구 문정동 38-3 문정동 근린공원,37.485989000000004,127.12476299999999
문정동 글샘 공원,운영중,서울특별시 송파구 문정동 627 장지동 글샘 공원,37.478809000000005,127.120003
올림픽공원 남2문 앞,운영중,서울특별시 송파구 올림픽로 424 올림픽공원 남2문 앞,37.51424,127.12307
몽촌토성역 1번출구 옆,운영중,서울특별시 송파구 방이동 88-21 몽촌토성역 1번출구 옆,37.517288,127.11419699999999
리센츠아파트,운영중,서울특별시 송파구 올림픽로 135 리센츠아파트,37.511944,127.09121699999999
현대벤처빌 앞,운영중,서울특별시 마포구 백범로 10 31-213,37.55352,126.93695100000001
송파도서관,운영중,서울특별시 송파구 동남로 263 송파도서관,37.499984999999995,127.135391
영파여고 앞,운영중,서울특별시 송파구 올림픽로 565 영파여고 앞,37.532848,127.121048
거여초등학교 옆,운영중,서울특별시 송파구 마천로25길 18 거여초등학교 옆,37.504589,127.139366
오금동 송파 참병원,운영중,서울특별시 송파구 마천로 164 오금동 송파 참병원,37.503757,127.137093
송파구청 교차로,운영중,서울특별시 송파구 올림픽로 336 송파구청 교차로,37.515831,127.106796
마천금호어울림 1차아파트 건너편,운영중,서울특별시 송파구 성내천로39길 4 마천금호어울림 1차아파트 건너편,37.497516999999995,127.154678
신촌역(2호선) 1번출구 옆,운영중,서울특별시 서대문구 연세로 3-5 30-16,37.555496000000005,126.93633999999999
송파파크데일 2단지입구 앞 주차장,운영중,서울특별시 송파구 성내천로47길 23 송파파크데일 2단지입구 앞 주차장,37.495659,127.157173
송파소방서 맞은편(성내4교),운영중,서울특별시 송파구 오금로51길 56 송파소방서 맞은편(성내4교),37.499874,127.141479
오금공원 사거리,운영중,서울특별시 송파구 오금로 363 오금공원 사거리,37.505455,127.131752
위례별 유치원 뒤,운영중,서울특별시 송파구 위례광장로 136 위례별 유치원 뒤,37.477470000000004,127.14459199999999
위례중앙푸르지오 1단지 앞,운영중,서울특별시 송파구 위례광장로 120 위례중앙푸르지오 1단지 앞,37.474377000000004,127.140671
위례아이파크 101동 맞은편,운영중,서울특별시 송파구 위례순환로 419 위례아이파크 101동 맞은편,37.477531,127.14151799999999
문정중교 사거리,운영중,서울특별시 송파구 송이로 238 문정중교 사거리,37.487999,127.13108799999999
풍납동 자전거보관소,운영중,서울특별시 송파구 토성로 2 풍납동 자전거보관소,37.531471,127.111092
신촌역(2호선) 6번출구 옆,운영중,서울특별시 마포구 신촌로 106 31-123,37.555054,126.937569
위례송파꿈에그린아파트24단지 앞 성벽 다리 밑,운영중,서울특별시 송파구 위례광장로 121 위례송파꿈에그린아파트24단지 앞 성벽 다리 밑,37.474659,127.13771799999999
서울체육고등학교 앞,운영중,서울특별시 송파구 강동대로 232 서울체육고등학교 앞,37.521938,127.13186599999999
석촌호교차로 (스타벅스 앞),운영중,서울특별시 송파구 석촌호수로 176 석촌호교차로 (스타벅스 앞),37.506561,127.096558
잠실역 8번출구,운영중,서울특별시 송파구 올림픽로 305 잠실역 8번출구,37.513962,127.10030400000001
석촌호수교차로 (송파나루근린공원 앞),운영중,서울특별시 송파구 석촌호수로12길 1-16 석촌호수교차로 (송파나루근린공원 앞),37.508678,127.10343200000001
석촌호수교차로(동호 팔각정 앞),운영중,서울특별시 송파구 석촌호수로12길 1-16 석촌호수교차로(동호 팔각정 앞),37.509201000000004,127.104118
송파소방서 (방이119안전센터),운영중,서울특별시 송파구 강동대로 286 송파소방서 (방이119안전센터),37.519878000000006,127.136711
신촌역(2호선) 7번출구 앞,운영중,서울특별시 마포구 신촌로 94 31-123,37.554859,126.93615700000001
오륜사거리,운영중,서울특별시 송파구 성내천로16길 17 오륜사거리,37.506939,127.13922099999999
한성대입구역6번출구 뒤,운영중,서울특별시 성북구 동소문로 1 한성대입구역6번출구 뒤,37.588764000000005,127.00631000000001
돈암초교 입구,운영중,서울특별시 성북구 동소문로13길 38 돈암초교,37.591694,127.012497
만해공원,운영중,서울특별시 성북구 성북로 132-1 만해공원,37.594402,126.99231
성북구청,운영중,서울특별시 성북구 보문로 168 성북구청,37.589329,127.016434
한성대입구역2번출구,운영중,서울특별시 성북구 동소문로 2 성북구 동소문동2가 2-3,37.588448,127.00670600000001
안암로터리 버스정류장 앞,운영중,서울특별시 성북구 안암로 69 안암로터리 버스정류장,37.582592,127.028976
증산2교,운영중,서울특별시 서대문구 증가로 264 북가좌동354-4,37.584171000000005,126.911102
정릉교회 앞,운영중,서울특별시 성북구 정릉로27가길 28-2 성북구 정릉동 138-15,37.603245,127.014191
정릉꿈에그린1단지 201동 앞,운영중,서울특별시 성북구 아리랑로19길 20 성북구 정릉동 966-62,37.60244,127.01168799999999
고려사대부속중고 정문,운영중,서울특별시 성북구 보국문로29길 23 성북구 정릉동 966-1,37.607760999999996,127.003281
